Riff	Hits	Misses
1	10	0
1-1	10	0
1-2	10	0
2	16	0
2-1	16	0
2-2	16	0
3	7	2
3-1	9	0
3-2	5	4
3-3	8	0
4	14	0
4-1	14	0
5	28	2
7	8	0
8	6	0
9	7	0
10	8	0
11	16	0
12	9	0
13	5	0
14	6	1
15	12	0
