iter	Passed	Remaining
400	28566	42671
401	28636	42598
402	28700	42515
403	28764	42435
404	28834	42361
405	28910	42297
406	28986	42233
407	29058	42163
408	29130	42093
409	29199	42018
410	29272	41949
411	29342	41877
412	29416	41810
413	29481	41729
414	29552	41658
415	29616	41577
416	29691	41510
417	29755	41430
418	29831	41365
419	29900	41291
420	29971	41220
421	30042	41148
422	30114	41077
423	30182	41003
424	30245	40920
425	30314	40845
426	30378	40766
427	30451	40696
428	30518	40619
429	30585	40543
430	30658	40475
431	30730	40404
432	30794	40324
433	30861	40247
434	30937	40183
435	31003	40105
436	31081	40042
437	31145	39963
438	31214	39888
439	31284	39816
440	31355	39745
441	31423	39670
442	31496	39601
443	31568	39531
444	31635	39455
445	31702	39379
446	31769	39303
447	31837	39227
448	31899	39145
449	31969	39073
450	32042	39005
451	32116	38937
452	32184	38863
453	32254	38790
454	32321	38714
455	32389	38639
456	32467	38577
457	32534	38501
458	32610	38436
459	32677	38360
460	32758	38300
461	32825	38225
462	32895	38153
463	32953	38067
464	33023	37994
465	33093	37922
466	33159	37846
467	33230	37774
468	33306	37709
469	33377	37638
470	33443	37562
471	33521	37499
472	33595	37430
473	33668	37361
474	33747	37299
475	33817	37227
476	33887	37155
477	33953	37078
478	34020	37003
479	34095	36936
480	34166	36865
481	34229	36786
482	34305	36720
483	34372	36645
484	34439	36569
485	34516	36504
486	34582	36428
487	34650	36354
488	34716	36278
489	34792	36212
490	34865	36143
491	34935	36071
492	35005	35999
493	35078	35930
494	35152	35862
495	35218	35786
496	35290	35716
497	35363	35647
498	35433	35575
499	35498	35498
500	35565	35423
501	35639	35355
502	35710	35284
503	35783	35215
504	35850	35140
505	35926	35074
506	35989	34995
507	36054	34918
508	36124	34846
509	36207	34788
510	36278	34716
511	36342	34639
512	36407	34562
513	36478	34491
514	36547	34418
515	36619	34348
516	36685	34272
517	36757	34202
518	36819	34123
519	36888	34051
520	36958	33979
521	37024	33903
522	37087	33825
523	37162	33758
524	37229	33683
525	37307	33619
526	37378	33548
527	37445	33474
528	37517	33403
529	37588	33333
530	37653	33257
531	37722	33184
532	37790	33110
533	37852	33032
534	37919	32958
535	37983	32881
536	38059	32815
537	38125	32739
538	38197	32670
539	38267	32598
540	38343	32531
541	38410	32457
542	38483	32388
543	38553	32316
544	38623	32245
545	38697	32177
546	38768	32106
547	38847	32041
548	38922	31974
549	39000	31909
550	39078	31844
551	39142	31768
552	39208	31693
553	39272	31616
554	39334	31538
555	39404	31467
556	39469	31391
557	39537	31318
558	39604	31244
559	39675	31173
560	39744	31101
561	39812	31028
562	39876	30951
563	39942	30877
564	40008	30802
565	40084	30736
566	40158	30668
567	40230	30597
568	40297	30524
569	40362	30448
570	40424	30371
571	40503	30306
572	40571	30233
573	40632	30155
574	40698	30081
575	40765	30008
576	40835	29936
577	40915	29872
578	40988	29803
579	41051	29726
580	41119	29654
581	41190	29583
582	41263	29514
583	41336	29445
584	41406	29374
585	41483	29307
586	41558	29239
587	41633	29171
588	41702	29099
589	41768	29025
590	41843	28957
591	41915	28887
592	41982	28814
593	42047	28739
594	42120	28670
595	42197	28603
596	42274	28537
597	42335	28459
598	42408	28390
599	42477	28318
600	42549	28248
601	42613	28172
602	42681	28100
603	42752	28029
604	42823	27959
605	42893	27887
606	42959	27814
607	43028	27742
608	43097	27670
609	43162	27595
610	43235	27526
611	43312	27459
612	43379	27386
613	43458	27320
614	43530	27250
615	43600	27179
616	43672	27109
617	43746	27040
618	43817	26970
619	43886	26898
620	43955	26826
621	44031	26758
622	44098	26685
623	44169	26614
624	44247	26548
625	44318	26477
626	44385	26404
627	44448	26329
628	44524	26261
629	44601	26194
630	44675	26125
631	44737	26049
632	44803	25976
633	44873	25904
634	44938	25830
635	45005	25757
636	45070	25683
637	45147	25616
638	45214	25543
639	45287	25473
640	45364	25406
641	45438	25337
642	45503	25264
643	45569	25190
644	45636	25117
645	45709	25048
646	45774	24974
647	45841	24901
648	45915	24832
649	45985	24761
650	46056	24690
651	46124	24618
652	46196	24548
653	46265	24476
654	46345	24410
655	46415	24339
656	46485	24268
657	46549	24194
658	46621	24124
659	46688	24051
660	46764	23983
661	46835	23912
662	46909	23843
663	46975	23770
664	47048	23701
665	47113	23627
666	47181	23555
667	47254	23485
668	47321	23413
669	47399	23345
670	47470	23275
671	47543	23205
