iter	Accuracy	MultiClass
176	0.9949477352	-0.2150214325
177	0.9951219512	-0.2135241359
178	0.9954703833	-0.2119270989
179	0.9956445993	-0.2101093359
180	0.9958188153	-0.2086730106
181	0.9958188153	-0.2073451026
182	0.9958188153	-0.2057521913
183	0.9959930314	-0.2038292011
184	0.9961672474	-0.2027314402
185	0.9961672474	-0.2012445643
186	0.9961672474	-0.1997442053
187	0.9959930314	-0.1975680787
188	0.9959930314	-0.1960219327
189	0.9961672474	-0.1947653953
190	0.9963414634	-0.1935098788
191	0.9968641115	-0.1922016848
192	0.9970383275	-0.1906929893
193	0.9970383275	-0.1895365539
194	0.9972125436	-0.1886350838
195	0.9972125436	-0.1872058191
196	0.9973867596	-0.1857385296
197	0.9973867596	-0.1841435981
198	0.9975609756	-0.1826068307
199	0.9975609756	-0.1813998445
200	0.9973867596	-0.1801102376
201	0.9975609756	-0.1789957824
202	0.9973867596	-0.1777313551
203	0.9977351916	-0.1768769161
204	0.9975609756	-0.1753154476
205	0.9975609756	-0.1741565239
206	0.9977351916	-0.1728752641
207	0.9977351916	-0.1715481961
208	0.9977351916	-0.1705357462
209	0.9979094077	-0.1692684373
210	0.9979094077	-0.168133109
211	0.9979094077	-0.1670092221
212	0.9979094077	-0.1655259083
213	0.9979094077	-0.1644284664
214	0.9979094077	-0.1635283786
215	0.9979094077	-0.1624300116
216	0.9979094077	-0.1614792987
217	0.9980836237	-0.1601274444
218	0.9980836237	-0.1593015451
219	0.9982578397	-0.1583679518
220	0.9982578397	-0.1572459364
221	0.9982578397	-0.1561377336
222	0.9982578397	-0.1548760391
223	0.9982578397	-0.1541293899
224	0.9980836237	-0.1534123225
225	0.9984320557	-0.1520741107
226	0.9982578397	-0.1512812491
227	0.9982578397	-0.150392975
228	0.9982578397	-0.1495930103
229	0.9984320557	-0.1486201589
230	0.9987804878	-0.14724321
231	0.9987804878	-0.1464528154
232	0.9987804878	-0.1454722122
233	0.9987804878	-0.1442289452
234	0.9987804878	-0.1432797954
235	0.9987804878	-0.1423495303
236	0.9987804878	-0.1414448064
237	0.9987804878	-0.1404509966
238	0.9987804878	-0.1395940163
239	0.9987804878	-0.1385151295
240	0.9987804878	-0.1377261916
241	0.9987804878	-0.1369180075
242	0.9987804878	-0.1362210157
243	0.9987804878	-0.1355057348
244	0.9987804878	-0.134676486
245	0.9987804878	-0.1341107093
246	0.9987804878	-0.1334520081
247	0.9989547038	-0.1323840417
248	0.9991289199	-0.131787556
249	0.9991289199	-0.1310514124
250	0.9991289199	-0.1301471777
251	0.9991289199	-0.1291560901
252	0.9991289199	-0.1282329706
253	0.9991289199	-0.1276445874
254	0.9991289199	-0.1268014409
255	0.9991289199	-0.125987972
256	0.9991289199	-0.1250814405
257	0.9991289199	-0.1243609066
258	0.9991289199	-0.123639873
259	0.9994773519	-0.1229393404
260	0.9994773519	-0.1219766863
261	0.9994773519	-0.1214561648
262	0.9994773519	-0.120649044
